noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
33.4,20789,20705,20880,0.0,65535,44746,433.67,3.09

No.,dataNT,dataT
1,20875,65535
2,20842,65535
3,20822,65535
4,20819,65535
5,20807,65535
6,20805,65535
7,20833,65535
8,20801,65535
9,20802,65535
10,20806,65535
11,20794,65535
12,20845,65535
13,20817,65535
14,20824,65535
15,20855,65535
16,20880,65535
17,20821,65535
18,20797,65535
19,20818,65535
20,20821,65535
21,20810,65535
22,20786,65535
23,20785,65535
24,20818,65535
25,20797,65535
26,20817,65535
27,20817,65535
28,20791,65535
29,20779,65535
30,20791,65535
31,20772,65535
32,20806,65535
33,20776,65535
34,20796,65535
35,20806,65535
36,20823,65535
37,20829,65535
38,20831,65535
39,20783,65535
40,20779,65535
41,20756,65535
42,20753,65535
43,20764,65535
44,20776,65535
45,20733,65535
46,20746,65535
47,20759,65535
48,20805,65535
49,20784,65535
50,20752,65535
51,20807,65535
52,20789,65535
53,20787,65535
54,20835,65535
55,20833,65535
56,20829,65535
57,20761,65535
58,20799,65535
59,20813,65535
60,20811,65535
61,20793,65535
62,20777,65535
63,20796,65535
64,20767,65535
65,20748,65535
66,20720,65535
67,20787,65535
68,20761,65535
69,20750,65535
70,20717,65535
71,20787,65535
72,20817,65535
73,20806,65535
74,20767,65535
75,20756,65535
76,20778,65535
77,20776,65535
78,20769,65535
79,20731,65535
80,20786,65535
81,20777,65535
82,20784,65535
83,20798,65535
84,20811,65535
85,20764,65535
86,20729,65535
87,20786,65535
88,20793,65535
89,20798,65535
90,20754,65535
91,20760,65535
92,20830,65535
93,20777,65535
94,20705,65535
95,20763,65535
96,20726,65535
97,20746,65535
98,20754,65535
99,20766,65535
100,20753,65535
